HANZI,PINYIN,DEF1,TIPO1,DEF2,TIPO2,LECCION,NUM
小学,XIǍOXUÉ,escuela primaria,NOM,,,20,1
学校,XUÉXIÀO,escuela,NOM,,,20,2
辆,LIÀNG,clasificador de vehículos (terrestres),CLA,,,20,3
音乐厅,YĪNYUÈTĪNG,recinto de concierto,NOM,,,20,4
幸福,XÌNGFÚ,feliz,ADJ,,,20,5
万事如意,WÀNSHÌRÚYÌ,todo va a tu manera,FH,,,20,6
条,TIÁO,clasificador de objetos largos,CLA,,,20,7
蛇,SHÉ,serpiente,NOM,,,20,8
最,ZUÌ,extremo (máximo o mínimo),ADV,,,20,9
添,TIĀN,añadir,VER,,,20,10
脚,JIǍO,pie,NOM,,,20,11
完,WÁN,terminar,VER,,,20,12
多余,DUŌYÚ,"redundante, innecesario",ADJ,,,20,13
足,ZÚ,pie,NOM,,,20,14
